v_id,cv_cid,video_source_id
OX9BECXWHNMYTCCEOULL,TC9PB66AVX3R5DS5TQMZ,F5WOUN9K3QHK85WOWNMN
HACIYVVIL6J8ES728Z9B,TC9PB66AVX3R5DS5TQMZ,IPMGOLAJ4JETEJNICKGK
V4Q9C6BBX68F0AQ0OJ9X,TC9PB66AVX3R5DS5TQMZ,D5A9RKWKZWTPZLFLQFIQ
FHYEA2XTCN4U5JXYJ8YT,9W16HUAN3F0LB16BN1QC,COXJCAQYFRL437PJPP9B
D4MI3SUXFWPOHS8JXAYZ,9W16HUAN3F0LB16BN1QC,7PF9S92P8S4ZAMND80VI
3IN3FU6B8EAQTP4IHNV1,9W16HUAN3F0LB16BN1QC,Y0DO4F4033EI70E4UWW6
RHCNP8ANTH8JJI3EB1G0,TJ39ZYUZ7HNE371LMWF0,NLJMHE44YGY700MN3G50
89O2ZZUGBQ3JZ68JL21Z,TJ39ZYUZ7HNE371LMWF0,O8ECSK25ZNHGQ0KWYIRJ
0NZZTIF279PC4VBZ8QAR,TJ39ZYUZ7HNE371LMWF0,VK731GNJG908YMD3ZIS4
QKBRD3QFG93OK2QGNPHH,TJ39ZYUZ7HNE371LMWF0,3RAY85TMN8P2SMTYRJM3
4UJ10J83NRBK65GMSJWO,TJ39ZYUZ7HNE371LMWF0,DUTD33166K83N38XYFT9
34CE2RXC3K4DCPSALN5B,TJ39ZYUZ7HNE371LMWF0,JUFIT9H4QQ47E1K6YHTY
WU45KJMSPEI7AOJDO7UG,0TLKWF3A315ALPAUIU1M,75IQHVFL0USDUQZ0DDCN
9IVQ988DY4CHLG32Z4OZ,0TLKWF3A315ALPAUIU1M,LUCTM64AZW7EP1NTS333
DG2IBSWOI3R5MSC12ZRB,0TLKWF3A315ALPAUIU1M,D4V7GQQNU5RK6TDRKDRT
JLKQ1UODL3I5C5VCPJWL,0TLKWF3A315ALPAUIU1M,8LDAT8WNODVKFA86RVQN
C8YEKFDI4DAL9LRLQ1OX,0TLKWF3A315ALPAUIU1M,615EO7082KLYP2H6FEKI
66DFOJ265SND4LGY96ZI,0TLKWF3A315ALPAUIU1M,R4361SYPLCHS17BFYO8A
MC6F9TE2Q6OLKR71CB9U,0TLKWF3A315ALPAUIU1M,WPMUBQ09X434KK60U1OJ
NU1RDB8NS3L23BIGEMLX,0TLKWF3A315ALPAUIU1M,CVDKZSB40MRCS0ROQUJ2
1WAP46C8LF5WPUT9HVNT,9W16HUAN3F0LB16BN1QC,CFDW12SMJU72T15V1X2R
V9SMP7NHAZWRMF13DRET,E03Q8Y0SELQE6KZQST0A,A008LRJBQRRQ00F9FTH4
1ON1114EIKWSX5J2G8TP,E03Q8Y0SELQE6KZQST0A,X45GUK10ISXE8PQPT33Q
JE2EYIQ1FSKT5IWPLUDF,E03Q8Y0SELQE6KZQST0A,22QQ8REDRNY0GIBK780I
4HCR0K4QF8LTVQ2XFM8W,E03Q8Y0SELQE6KZQST0A,M80C0QBHIMI8HZNOL2YU
YPK8PZZ5CTWZ2M7F75CO,E03Q8Y0SELQE6KZQST0A,OMQY8CN76XAIWF2XWOC8
ZPFLQI2WSGSRZCIWMWZ9,E03Q8Y0SELQE6KZQST0A,TSSQYRQLKEY8RAFWHTHO
6J25OLKTE88OIBSR615V,E03Q8Y0SELQE6KZQST0A,0M5Z309G9YI2BELUBNLL
D0VXDUW9JDTJ1K9Q3M2U,E03Q8Y0SELQE6KZQST0A,CG4GJXAC96NBYEDDLPO7
MEFJ8OGWNQ066Y10CEDS,E03Q8Y0SELQE6KZQST0A,ZNJWNCV86I70W5AI5NSY
9YCLE6Z7MPFEA0SY6R7G,E03Q8Y0SELQE6KZQST0A,EKXGW57W6WKSR2C51OXB
F747L38OIFOO6HEKO5DK,E03Q8Y0SELQE6KZQST0A,M8N4OQ4XCA1R30I2ME2N
FSAK2XJAODP6QC955LT8,E03Q8Y0SELQE6KZQST0A,MKBG4VRRT3UKNKH8SVAB
3I6ONCTPT19LMOXIFPQU,E03Q8Y0SELQE6KZQST0A,FG934YQAMFWK6IVMHG8T
Q3QSGNJU4NI7IUG5OSX5,E03Q8Y0SELQE6KZQST0A,X33IDN7BULXO60A1TPJJ
9I4MJ3ZQ3DXDQOEWOV94,E03Q8Y0SELQE6KZQST0A,NR487QF1859CUSLGB9AX
1WEUL4RKJ8WW3CVJ35X2,E03Q8Y0SELQE6KZQST0A,NECTJKSOSXTXLW4RWSGM
7M2JYNKM1CE3HKAD6G8N,9W16HUAN3F0LB16BN1QC,CD4SH2JKSM4EZYH2Q041
1PBU9JTRZ3Y04JWBMEJ5,9W16HUAN3F0LB16BN1QC,2AB07HERNT5TC4XYKCWU
N6AG49TZ5920JUTBUVIU,9W16HUAN3F0LB16BN1QC,FAB2U2D17KT9LCPTYVPZ
